username,nickname,comment,create_time,avatar,total_reply,replies
taurus....93,*T A U R U S♉,"menurut saya,,di Ternate in drainase nya yg kacau
dp got kacil,kong dp posisi got lebe tinggi drpada jalan",2025-03-22T18:31:07,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/04d72059860ffc538d4bf156ccf9f5e4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d946fa6d&x-expires=1750320000&x-signature=OGv2rVFVVUzCWYCVHcu7Ky0hf3E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
anjiranjay71,JoS,di Rua Tamba ancor,2025-03-22T13:32:48,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ba8790ff289993c547e15d69c13bedeb~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d585eecc&x-expires=1750320000&x-signature=oKTfQZbhZ6YB9%2FzKMZ8eYmKYsRs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
lwllllllllaawwl,Wawan,We ini hujan so tra berenti,2025-03-22T19:56:01,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0eb0a6b0e94b5214197262efb58bbe8f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=85baff4d&x-expires=1750320000&x-signature=gfedCqSgHOH4v3IOKoOGhf0dOY8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
yanieqliem01,YQueen Bacan,akibat buang sampah di barangka🫣,2025-03-22T18:55:54,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/752e6e7df13c447bb4e637e5140699b7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ef0d71a1&x-expires=1750320000&x-signature=KY29rZZKG7nElQ1U27tP9ibNOyo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
nurdiananahairun,Diana21,"bagimana banjir tra masuk pemukiman masyarakat, masyarakat sja me buang sampa di sungai, masyarakat dan pemerinta butuh kesesadran akan sampa🙏🏻🙏🏻🙏🏻😭😭",2025-03-22T04:48:55,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/d1f37814c33af9e09938838b91167c4d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ce76a20f&x-expires=1750320000&x-signature=qD5yDtbAHtmcB9P9WM9EWfVoeZk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
indonesian1diot,INDONESIAN IDIOT,"Pasca pilkada, alam mulai menampakan banyak keganjilan. Semoga semua baik baik saja. 🙏",2025-03-21T22:47:01,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/393920774ed2352b21d66b3d6c7767fd~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=961b18e2&x-expires=1750320000&x-signature=VfmPsaWZPEYCmlDadOedA5%2Beqns%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
fitriyaniyani695,khaira nazirah.G.,"sabar yaa ,semua ini hnya izin Allah SWT,kita harus bnyak mnundu dgn segala perintah sehingga semua ini bisa d jauhkan dri segala musibah ,innama Ashoba musibah,,,,bersabar Krna semua ini pasti d mudh",2025-03-21T15:37:39,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b229dddde511827956e8a342d62e7c1f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=838314eb&x-expires=1750320000&x-signature=bZQoUl3py1%2Fv1uByFv1jA6YxwEs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
talang.ujang,talang ujang,"sampah PE banya itu tetap air lari kaluar dia bikin jalan lain,..
semoga capat pulih Maluku Utara kuu😇😇",2025-03-22T20:51:08,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4eeade6b698022f14a5b3d9a0763402a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e054581b&x-expires=1750320000&x-signature=NYr1YGvqz7LmfX2x19gAkGq6aE0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
mozzart63,mozzart,"pejabat pemberi IMB,rabe biji mata tu la lia tuh..jang tong baku bongkar",2025-03-23T19:59:17,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f89b75e9&x-expires=1750320000&x-signature=MDUjvPZLcUYOwM0ztBGs0qpECw0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
puspahadamu,Puspa,siapa yg harus disalahkan semua pada hujan kitorang juga dimanado hujan rurus🤲🤲,2025-03-21T13:15:17,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/44e0a7fb387420266273fa2f81191dca~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3540305f&x-expires=1750320000&x-signature=iADZsF4VZIZ%2B%2FpgREeYqHmc9eng%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
user3497937312143,Tampa Nama,semoga qt semua berada dalam lindungan yng maha Kuasa🤲🤲,2025-03-23T01:11:16,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1ab40cf01bb558719871c63def8b7687~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f198c97d&x-expires=1750320000&x-signature=uA2mufixxqEbsplEotL6N9GzH68%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
user65677668179428,user6567766817942 Ain,aamiin 🤲,2025-03-21T17:33:53,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/e2c3568bd73d113a10bc09c86ecfb7ab~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6ea7b98d&x-expires=1750320000&x-signature=p3qZdowmU3%2B6TanXXEpFK410%2FpY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
user2519200f,.,@liyaa,2025-03-22T14:05:32,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cbf603596f01f675e5701fa3285e05e8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bf908ad8&x-expires=1750320000&x-signature=fNkNWZHfGpdGYGssggLopBeWNcU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,,
xxxxxxtyyyyyy_98,Santyyyy🐣,🤣,2025-03-30T23:38:33,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/640031e8f6ec0df479117f836122c91c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=53552ad4&x-expires=1750320000&x-signature=zFoSMiDH%2Bxdx0lLRT1sMvgEIZGU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
sermi678,emi,❤️,2025-03-27T23:02:35,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7258089355423940614~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2ca98f00&x-expires=1750320000&x-signature=4Vpd61QrWXb2qV9DvZSM7jkKm5I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
sermi678,emi,♥️,2025-03-27T23:02:16,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7258089355423940614~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2ca98f00&x-expires=1750320000&x-signature=4Vpd61QrWXb2qV9DvZSM7jkKm5I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
sermi678,emi,🥰,2025-03-27T23:02:13,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7258089355423940614~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2ca98f00&x-expires=1750320000&x-signature=4Vpd61QrWXb2qV9DvZSM7jkKm5I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
khanzakaleakimora127,🧚‍♀️,👍,2025-03-22T20:45:54,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/aeee4708be4cdb1317ce9818c1127024~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d6c86bee&x-expires=1750320000&x-signature=gA4qkpulMVDD5kPYT5KW399Qv4c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
nurlaela0683,NurLaEla06🇲🇨🤍🇵🇸,🤲🤲🥺🥺,2025-03-22T15:21:44,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e8bce1985a41a10b45eabf084f04cb37~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=faab706e&x-expires=1750320000&x-signature=oGmw74gMnhNNlDC9ob5%2B1tVRzz8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
onely_28,OneL28,💪,2025-03-22T11:54:54,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7312796314146865158~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a9e849a5&x-expires=1750320000&x-signature=gYO1YklSsmffmoh8qmqtAnKyrpQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
poniman12344,Poniman4513,🥰🥰🥰,2025-03-22T04:21:34,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a481270bf7a7bc683e6bbebc58e4635d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=01e011d8&x-expires=1750320000&x-signature=pHgyS5tsevffCtKB%2BivUonrXAMQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
rizqisyawal16,ikkyyy,@♣️@always @FT13 @☄️waspadaii,2025-03-22T01:55:39,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/aeacb5900a2f59168f9ee1ce0ea8999d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fa5453a7&x-expires=1750320000&x-signature=AA3b3jbQOhHXs5k6XSOBKDUul3U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
norgumilah319,noorgumilah319,🥰,2025-03-21T16:45:10,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a9fd4a8f9e9b95faa0f81c941c140a45~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c65da12d&x-expires=1750320000&x-signature=RNQP3zWzZlkYMeBiHEG9Uexl%2FAs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
abdgafurmagtublo,@MATA AFU_GEBE,😎😎😎,2025-03-21T13:57:36,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/84542431ca0c6eedb43044d6bafdb8a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=be204cef&x-expires=1750320000&x-signature=K0F7IcSkT0EtoDwZtdPv3e7yVZw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
nettydiawati.togimpo,nettydiawati.togimpo,😂😂😂😂😂😂😂😂😂uo uo yo yo,2025-03-22T23:08:10,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f89b75e9&x-expires=1750320000&x-signature=MDUjvPZLcUYOwM0ztBGs0qpECw0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
andikadaiyan,a.dyn04,ternate kota rèmpah ✖️ternate kota sampah✅️,2025-03-22T19:10:29,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b513d7cb0ea4dc6f497269efe6658d35~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=78e8022a&x-expires=1750320000&x-signature=D0mDkje7aeDdlHRHKVSCIeeDGeo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
renycandra89,Renycandra89,kl kita kasih ingat..woi jng buang sampah ke gitu..trus dong bilang Kong mau buang kmn .tempat sampah Me so bongkar smua😭,2025-03-21T19:10:31,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/91a2a7b7a7878781a0926e0b83c92661~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=79153bf7&x-expires=1750320000&x-signature=OTKSWmnvnsGxZDJSLWhBwOs65O0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
dhila_83,dhila_83,kesadaran masing2 sdh ee...jgn salahkan pemerintah mau yg lama atau yg baru...tong introspeksi diri dan jangan buang sampah d barangkat...paham👍,2025-03-21T07:18:49,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c637f0410aadf195df6adf6c4ec035a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1dbc7c4a&x-expires=1750320000&x-signature=Xc21gdZLMK5Q7oST2pGXfIzcV5c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,,
trive2727,TRIVE,"kalau sya pmerintah tdk prnah berfikir mslh smpah,
yg masalah air surut lma di tapak deng d muka tman nukilah sja tra urus, apalgi sampah🤣. aspal sja nnti d kritik bru di buat. pemimpin Good Game👍",2025-03-22T04:24:53,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/e4c5ab1ea4b05d08861629fb51d05dd4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=305d3b9f&x-expires=1750320000&x-signature=H0%2FvL0UlXlCFRiexyBgC9m29aGg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,,
sartikasirajudin31,Tika2490,"Akibat ulah” manusia sendiri, merusak alam … buang sampah sembarangan",2025-03-21T09:28:03,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e13971b34e39d0da26ce6b28eb8e8564~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1afecef6&x-expires=1750320000&x-signature=1dJNELzWIEgj2kCupJAdibuVA%2Fk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
astutisyusuf,Thuty,"sesungguhnya kerusakan di laut dan daratan adalah ulah tangan manusia,,jadi butuh kesadaran masing-masing🙏🏼🙏🏼🙏🏼",2025-03-21T09:35:28,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5569dd16edf55a07f117ed0f3155bf84~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a1a974d4&x-expires=1750320000&x-signature=HUzajy610%2FEDS%2B0YfEcjXFXc33g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
toko_maryam2,tokomaryam2484,sampah berserakan dimana-mana,2025-03-21T17:30:39,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c7dd2be3252648ac4b6c0b3a66300e39~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6063d0da&x-expires=1750320000&x-signature=GLNvd923ZmFcrRoyGtaTEQ8LAXs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
meriz621,Meri,"ini kamong kasi slah pemerintah.
sampah pe banyak di kali kali itu😭",2025-03-25T18:49:24,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/54fff5249901dec7c32c7229f08f1d86~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=939012d6&x-expires=1750320000&x-signature=00ElEHJOC8A3XqlYaboaOF%2FJN%2Fo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
tigaputra636,tigaputra,"jag barenti buang sampa sabarang, tgu smpe nnti Rua jilit 2 baru stop..",2025-03-23T14:10:16,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6f7d14946e7e13e155431bcb587e3ba3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=28575bf3&x-expires=1750320000&x-signature=Kaqn58GxQBfEkDsYgOlI%2FB26ATE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
chyci1522,Chyci15,bafoya sja ngoni. keadaan bgini bru bilng walikota pdhal ngoni yg duduk d muka bandara saja abis ngoni buang dape SAMPAH sbrang🤭,2025-03-23T12:12:26,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0c5c4cc76c64517520091e615cd26664~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=61ecf0e8&x-expires=1750320000&x-signature=ZDsD5%2BeoLCUepvZNLcUFScyP5o8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
farel.farel482,farel farel,orang2 PE cantik ganteng2 padahal buang sampah sembaranagn,2025-03-23T11:45:51,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3afc71eaf5ff991ca3381c60dca4fd2b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f9765030&x-expires=1750320000&x-signature=PZisQgaqQnK3%2FVJbCvAyHTJcpLI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
abi120458,Abi,aturan buang spah harus lebih tegas tegas lagi,2025-03-23T10:27:01,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f89b75e9&x-expires=1750320000&x-signature=MDUjvPZLcUYOwM0ztBGs0qpECw0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
vi90903,vi,mknya pemerintahan ternte harus mencotihkan pemwrintahan jabar .sat set.klau warga kena bencana banjir .gubernur d walikota nya harus turun k tempat lokasi .atasi sampah dn got got .itulah kinerja harus d contohkan seprti kinerja jabar kang dedy mulyadi gubernur jabar.,2025-03-23T09:26:11,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cd74b4b175847f23c3d33e53004ee26d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=33368a9b&x-expires=1750320000&x-signature=BnS0uMeWxxfny6fv9TkmlVS%2BtDk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
fitri.kahar7,fitri kahar,apa sadiki ngoni kase salah orng yng tinggl di gunung pada hal orng yng di gunung me ada Oto pengangkut sampah setiap hari coba koreksi ngoni yng di sekitar barangkali tuh,2025-03-23T04:04:14,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7348250764474580997~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6833e76d&x-expires=1750320000&x-signature=KOuGGxT%2FR09NgHVzGgrr2IHLymU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=sg1,0.0,[]
